Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
irish-lenin-shirt,White Irish Linen Shirt,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> White<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Acme,,Shirts,"Made to Order, Shirt, Shirt Tag",TRUE,Color,White,Size,S,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/1.jpg?v=1754837674,1,,,,,,g,,,,,active
irish-lenin-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/2.jpg?v=1754837674,2,,,,,,,,,,,
irish-lenin-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/3.jpg?v=1754837674,3,,,,,,,,,,,
irish-lenin-shirt,,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> White<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Acme,,Shirts,"Made to Order, Shirt, Shirt Tag",TRUE,Color,White,Size,M,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
irish-lenin-shirt,,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> White<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Acme,,Shirts,"Made to Order, Shirt, Shirt Tag",TRUE,Color,White,Size,L,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
orange-irish-lenin-shirt,Orange Irish Linen Shirt,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> Orange<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Melone,,Shirts,"orange, Shirt",TRUE,Color,Orange,Size,S,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/wb-O1.jpg?v=1756300424,1,,,,,,g,,,,,active
orange-irish-lenin-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/wb-O3.jpg?v=1756302128,2,,,,,,,,,,,
orange-irish-lenin-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/4103/0444/files/wb-O2.jpg?v=1756302128,3,,,,,,,,,,,
orange-irish-lenin-shirt,,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> Orange<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Melone,,Shirts,"orange, Shirt",TRUE,Color,Orange,Size,M,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
orange-irish-lenin-shirt,,"<p data-end=""647"" data-start=""247"">Tailored from <strong data-end=""283"" data-start=""261"">100% premium linen</strong>. The <strong data-end=""377"" data-start=""354"">relaxed-fit shirt</strong> features a clean button-down front, full sleeves with cuffs, and a lightweight structure that moves with ease.</p>
<p data-end=""795"" data-start=""649"">A modern take on the <strong data-end=""690"" data-start=""670"">men’s fashion</strong>, this <strong data-end=""727"" data-start=""697"">linen shirt for men</strong> offers timeless style and breathable comfort.</p>
<p data-end=""865"" data-start=""797"">Your order will be reserved upon receipt of a 50% advance payment.</p>
<p data-end=""920"" data-start=""867""><strong data-end=""877"" data-start=""867"">Color:</strong> Orange<br data-end=""896"" data-start=""893""><strong data-end=""907"" data-start=""896"">Fabric:</strong> 100% Irish Linen</p>",Melone,,Shirts,"orange, Shirt",TRUE,Color,Orange,Size,L,,,,500,,0,deny,manual,10000.00,,TRUE,FALSE,,,,,,,,,g,,,,,active
